episode_id,source_name,source_policy,tiger_opponent,move_index,total_moves,progress_ratio,action,goats_on_board,goats_placed,winner,bucket
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,0,20,0.0,80,0,0,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,1,20,0.05,105,1,1,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,2,20,0.1,75,2,2,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,3,20,0.15,0,3,3,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,4,20,0.2,45,4,4,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,5,20,0.25,95,4,5,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,6,20,0.3,50,5,6,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,7,20,0.35,45,6,7,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,8,20,0.4,5,7,8,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,9,20,0.45,65,8,9,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,10,20,0.5,70,9,10,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,11,20,0.55,30,10,11,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,12,20,0.6,40,11,12,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,13,20,0.65,25,12,13,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,14,20,0.7,100,13,14,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,15,20,0.75,107,14,15,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,16,20,0.8,111,14,15,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,17,20,0.85,88,14,15,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,18,20,0.9,41,14,15,Goat,goat_win
6,early_robust_goat_vs_normal_tiger,early_robust_goat,normal_tiger,19,20,0.95,66,14,15,Goat,goat_win
8,mid_normal_goat_vs_normal_tiger,mid_normal_goat,normal_tiger,0,17,0.0,80,0,0,Goat,goat_win
